152225,Reddaway
152172,Reddaway
151903,USF Reddaway
152063,Reddaway
152014,Reddaway
152263,Reddaway
151766,Reddaway
152039,Reddaway
151912,Reddaway
152211,Reddaway
152294,Reddaway
151734,Reddaway
152258,Reddaway
151900,Reddaway
151828,Reddaway
151867,Reddaway
152187,Reddaway
151690,Reddaway
151807,Reddaway
152279,Reddaway
151668,Reddaway
152126,USF Reddaway
151926,Reddaway
151745,Reddaway
151747,USF Reddaway
152040,Reddaway
152145,Reddaway
152092,Reddaway
151704,Reddaway
151985,Reddaway
151737,Reddaway
152078,Reddaway
151700,Reddaway
151778,USF Reddaway
152223,Reddaway
152069,Reddaway
151786,Reddaway
151796,Reddaway
152028,Reddaway
151702,Reddaway
152185,Reddaway
151861,USF Reddaway
151923,Dependable Highway Express
151859,Reddaway
152127,USF Reddaway
151741,Reddaway
152176,Reddaway
151899,USF Reddaway
151990,Reddaway
151701,Reddaway
152238,Dependable Highway Express
152315,Dependable Highway Express
152170,Reddaway
152167,Reddaway
151890,USF Reddaway
152179,Dependable Highway Express
151663,Dependable Highway Express
151669,Dependable Highway Express
152169,Dependable Highway Express
151654,Estes Express
152164,FedEx Economy
152227,Fedex LTL Economy
152054,AAA Cooper Transportation
151767,AAA Cooper
152111,Saia Motor Freight Line
152292,Saia Motor Freight Line
152297,AAA Cooper Transportation
152085,AAA Cooper Transportation
152065,Southeastern Freight Lines
151750,Saia Motor Freight Line
151902,FedEx Economy
151662,Saia Motor Freight Line
151787,Saia Motor Freight Line
151749,FedEx Economy
152007,Saia Motor Freight Line
151891,AAA Cooper
152094,Saia Motor Freight Line
152268,AAA Cooper
151881,Dot Line Transportation
151720,AAA Cooper Transportation
152082,Dot Line Transportation
151666,Saia Motor Freight Line
152096,Saia Motor Freight Line
152327,Saia Motor Freight Line
152229,AAA Cooper Transportation
152266,YRC Freight
151986,"Dayton Freight Lines, Inc."
152140,AAA Cooper Transportation
151947,Southeastern Freight Lines
151645,"Southwestern Motor Transport, Inc."
152280,Dot Line Transportation
151901,AAA Cooper
151716,AAA Cooper Transportation
151719,UPS Freight
152031,"Dayton Freight Lines, Inc."
151670,AAA Cooper Transportation
152051,"Southwestern Motor Transport, Inc."
152033,Dot Line Transportation
151977,Dot Line Transportation
151821,Dot Line Transportation
151693,Fedex LTL Economy
151939,Estes Express Lines
151691,"Southwestern Motor Transport, Inc."
152087,Fedex LTL Priority
152044,SAIA
151765,FedEx Economy
151804,AAA Cooper
151991,YRC Freight
